"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF423",-1.22891466734058,2.79106081523353,-8.92960370730034,4.48546940982792e-12,5.24245833552182e-10,17.3329661634296
"MRPS17",-1.54874504088954,8.10164433962571,-8.92115913945087,4.62257199719589e-12,5.37110426972427e-10,17.3034428198666
"IQGAP3",2.98215984284616,3.29372822071301,8.90418865334945,4.91099993366285e-12,5.67081237023486e-10,17.2440912798249
"GFRA1",-2.37821596290571,2.72525677826625,-8.90267479131455,4.93759394056384e-12,5.67081237023486e-10,17.2387954691288
"SEMA3G",-1.87692196752629,3.40594976868298,-8.89560548671686,5.06371368683601e-12,5.75692069714173e-10,17.2140626824453
"RBMS3",-1.88756440549709,3.69784399060346,-8.89522917554984,5.07051749962154e-12,5.75692069714173e-10,17.2127459820574
"PREX2",-1.43826974172389,2.3763552460377,-8.89314686897054,5.1083329893438e-12,5.76690160029954e-10,17.2054598191626
"MAMDC2",-1.93704441319988,2.5341251511676,-8.84238932985318,6.12337313280656e-12,6.87374580653862e-10,17.0277296588799
"MELK",1.78155622237756,2.57987141389706,8.83898422741257,6.19833141400593e-12,6.91880038566763e-10,17.0157979533113
"TSPYL2",-1.4382973622252,4.26185298091154,-8.8026157475383,7.05895034310797e-12,7.83543488084985e-10,16.8882939402865
"NUSAP1",2.05126630882425,3.564835334257,8.7989647976151,7.15173492193374e-12,7.89432339799453e-10,16.8754874233881
"THRB",-1.55048234650229,3.02871470742046,-8.78388068950538,7.54828209943758e-12,8.28601199081355e-10,16.8225637424275
"SETBP1",-1.18889732341089,3.98699698326649,-8.77945949656231,7.66865423755282e-12,8.32891721885409e-10,16.8070477658448
"TMEM132C",-1.79582581789437,1.31984459022373,-8.77775762999466,7.71550312444154e-12,8.32891721885409e-10,16.8010746718308
"DUSP1",-2.05306509978048,6.85485202063269,-8.7771015001013,7.73364190947831e-12,8.32891721885409e-10,16.7987717625747
"FLNC",-2.49288656688125,3.32497326289055,-8.77632931862574,7.75504396541349e-12,8.32891721885409e-10,16.7960614814175
"PAMR1",-1.80215358408431,2.12084804542878,-8.76836787656198,7.97921395822635e-12,8.52360226537631e-10,16.7681144710266
"SCARA5",-2.18752107687048,2.52634567803043,-8.76671533051024,8.02655626979819e-12,8.52832334356258e-10,16.7623128325039
"KLF9",-1.4648277031829,3.64544422828055,-8.75112890589379,8.48723005062284e-12,8.96982839765028e-10,16.7075811035629
"ADH1B",-3.02629538015664,4.0043454593136,-8.73996332131996,8.83352518989036e-12,9.28641862422919e-10,16.6683598151624
"TONSL",1.65604355667303,3.6006100077603,8.73623835300969,8.95219021266095e-12,9.36163512291371e-10,16.6552726719565
"TMOD1",-1.26664610681394,1.34748484497601,-8.73189901601584,9.0924525258049e-12,9.45853085001139e-10,16.6400254796205
"CENPM",2.14999283288442,3.06076071703278,8.7200598067602,9.48649446002477e-12,9.81703950136625e-10,16.5984173991223
"DACH1",-1.38864816975112,1.53560124440869,-8.70243387743554,1.01052217325861e-11,1.03926671119084e-09,16.5364494110127
"CTTNBP2",-1.39195241004709,1.73336614915358,-8.70127349978959,1.01473522558269e-11,1.03926671119084e-09,16.5323688813635
"ARHGEF25",-1.34538532448236,3.81199354420445,-8.6484101170095,1.22665549145626e-11,1.2498675876792e-09,16.3463478910691
"TRIP13",1.41074390031096,2.51925135354392,8.6460684769879,1.23701129618207e-11,1.25398864509396e-09,16.3381023189837
"ANKRD29",-1.55073356996545,2.52971113266656,-8.6320529605369,1.30086045178628e-11,1.31202011759095e-09,16.2887399611327
"CDC20",2.65251288400664,3.79850077116652,8.62599115879559,1.32949361119564e-11,1.33412669499223e-09,16.2673852413955
"CDCA3",1.91228277724991,3.2132905560114,8.62413146084603,1.33840449588676e-11,1.33609271909299e-09,16.2608332096815
"ITGB3",-2.70794675718245,5.57819596169704,-8.62278331013758,1.34490182605364e-11,1.33609271909299e-09,16.256083262538
"GPRIN1",1.39143524074765,1.50181052717231,8.61809036190513,1.3677678226412e-11,1.35204869990338e-09,16.2395473711976
"F10",-1.43357429692707,1.92125917694434,-8.6020646957553,1.44884254394368e-11,1.42510160918896e-09,16.183065945257
"TM4SF19",-1.04173949603163,7.06812513457603,-8.5822382467207,1.55587302913927e-11,1.5228394687669e-09,16.1131590972754
"RNASEH2A",1.13916250228351,4.18276257781786,8.56629989587933,1.6476587535422e-11,1.60477116539853e-09,16.0569377259368
"HIST1H1B",2.598698670101,5.00727108668026,8.5577498874566,1.69912266463488e-11,1.64682284017709e-09,16.0267695399893
"LDLRAD2",-1.48868395310594,2.72130901888341,-8.55247948804808,1.73164889549893e-11,1.67020057789652e-09,16.0081702584881
"ABCA9",-1.52852420658839,2.95721583448074,-8.54686603386909,1.76698173681147e-11,1.68793883271523e-09,15.9883578277101
"ZNF695",1.73188779063005,1.41115483417289,8.54685837516288,1.76703043537555e-11,1.68793883271523e-09,15.9883307948925
"RPP14",-1.31264900918338,7.77746618274786,-8.54387747161986,1.78608771015192e-11,1.6979797470339e-09,15.9778087811103
"CALCOCO1",-1.04267030951462,5.75670003335572,-8.52248342150645,1.92907006020055e-11,1.82517585838689e-09,15.9022706704691
"PARM1",-1.44840624513874,2.65601115238969,-8.51864080418801,1.95594594478064e-11,1.84183364819178e-09,15.8886992242096
"FOSB",-2.90551854607188,6.26824654132088,-8.50928068809222,2.02299951109873e-11,1.89598949462362e-09,15.8556359611753
"SALL4",1.62854787930121,1.63282503458512,8.50262797489227,2.07205972199362e-11,1.93285232940334e-09,15.8321319259406
"CIRBP",-1.02023286310219,7.26344343566494,-8.48889436238002,2.17715773091491e-11,2.02139939044618e-09,15.7835998709319
"SBK1",1.85485791531218,2.59419947686198,8.45723512979029,2.4403307398654e-11,2.25520611490166e-09,15.671664965794
"GINS1",1.64946176900338,2.11008517494341,8.44540165747884,2.54672103935837e-11,2.34262964495423e-09,15.6298061226403
"LRRC15",2.25047259630922,3.05840356366894,8.43888783991809,2.60726302517874e-11,2.38726769803117e-09,15.6067599736554
"CREB5",-1.85628490377102,4.08294062690026,-8.43443569367071,2.64947402153949e-11,2.41318096607506e-09,15.5910062062159
"ZNF763",-2.1260669076942,5.53535218637353,-8.43335168477598,2.65985520947425e-11,2.41318096607506e-09,15.5871702453625
"INPP1",-1.50303154479092,3.27504167214996,-8.43125778390161,2.68002379258205e-11,2.42042694249149e-09,15.5797603423717
"ALG3",1.13112824477675,5.15516022733059,8.42216785829838,2.76937741025296e-11,2.48980813413195e-09,15.5475889619049
"TACC1",-1.49687723180402,5.37812316038574,-8.39213478752461,3.08647087301121e-11,2.7500040258233e-09,15.4412498595776
"PYCR1",2.40032887322583,4.80030523863728,8.38327298689533,3.18683592085031e-11,2.82675191568638e-09,15.4098594925557
"AURKA",1.65334213132506,2.62849686437126,8.35250815475108,3.56144799453076e-11,3.1252619045987e-09,15.3008382490569
